StrokeID,StartZero,PosPeak,MidZero,NegPeak,EndZero,TotalTime,TimeToPosPeak,TimeToNegPeak,Area_Positive,Area_Negative
1,57,93,160,237,259,1.6833333333333333,0.3,0.6416666666666667,1.3608694374998116,-0.9974757977177212
2,259,295,335,442,469,1.75,0.3,0.8916666666666667,1.2016965979413285,-1.1032764038585956
3,469,500,534,627,656,1.5583333333333333,0.25833333333333336,0.775,1.3813989412110197,-1.2465104749129146
4,656,682,720,817,852,1.6333333333333333,0.21666666666666667,0.8083333333333333,1.342560073458359,-1.2895713157658615
5,852,880,912,1011,1036,1.5333333333333334,0.23333333333333334,0.825,1.3674085677520162,-1.4382245370040594
6,1036,1059,1088,1203,1220,1.5333333333333334,0.19166666666666668,0.9583333333333334,1.4249634268116416,-1.5650890310314622
7,1220,1253,1278,1327,1411,1.5916666666666666,0.275,0.4083333333333333,1.4738820426389683,-1.5456670278981026
8,1411,1440,1464,1574,1602,1.5916666666666666,0.24166666666666667,0.9166666666666666,1.5167249139200285,-1.7467435392638464
9,1602,1637,1662,1771,1794,1.6,0.2916666666666667,0.9083333333333333,1.442346663448013,-1.599443696693565
10,1794,1826,1849,1959,1990,1.6333333333333333,0.26666666666666666,0.9166666666666666,1.4515856923550035,-1.5720927054411526
11,1990,2027,2050,2130,2176,1.55,0.30833333333333335,0.6666666666666666,1.3304215402459638,-1.6238818275125833
12,2176,2205,2229,2280,2364,1.5666666666666667,0.24166666666666667,0.425,1.5398572286992676,-1.66079386810602
13,2364,2393,2416,2527,2549,1.5416666666666667,0.24166666666666667,0.925,1.4529173120934569,-1.6866776657955334
14,2549,2583,2605,2697,2737,1.5666666666666667,0.2833333333333333,0.7666666666666667,1.4188279001512933,-1.6348366950624473
15,2737,2769,2791,2884,2925,1.5666666666666667,0.26666666666666666,0.775,1.432762023652942,-1.6773884626212914
16,2925,2958,2977,3095,3117,1.6,0.275,0.9833333333333333,1.649730130435514,-1.7874223086303993
17,3117,3143,3169,3268,3302,1.5416666666666667,0.21666666666666667,0.825,1.5601034558141842,-1.7010280844342818
18,3302,3333,3356,3368,3495,1.6083333333333334,0.25833333333333336,0.1,1.6435657810255242,-1.752193041009177
19,3495,3526,3547,3641,3671,1.4666666666666666,0.25833333333333336,0.7833333333333333,1.5815094259960856,-1.8158139716766564
20,3671,3698,3722,3818,3852,1.5083333333333333,0.225,0.8,1.6127786446393775,-1.8712140718448853
21,3852,3880,3905,4019,4045,1.6083333333333334,0.23333333333333334,0.95,1.6379296395395908,-1.6933197785595144
22,4045,4073,4098,4160,4220,1.4583333333333333,0.23333333333333334,0.5166666666666667,1.6017773687366086,-1.757460390838384
23,4220,4251,4271,4386,4404,1.5333333333333334,0.25833333333333336,0.9583333333333334,1.5867851717556414,-1.8717410271100483
24,4404,4433,4453,4549,4582,1.4833333333333334,0.24166666666666667,0.8,1.635802394895122,-1.8458629303101741
25,4582,4611,4629,4740,4763,1.5083333333333333,0.24166666666666667,0.925,1.703144214989351,-1.889278990180098
26,4763,4792,4811,4874,4911,1.2333333333333334,0.24166666666666667,0.525,1.868684803086899,-1.8135550008530807
27,4911,4941,4959,5019,5053,1.1833333333333333,0.25,0.5,1.847976203664846,-1.9566363784815572
28,5053,5076,5099,5153,5185,1.1,0.19166666666666668,0.45,1.9729790439382993,-1.9162385107407125
29,5185,5212,5231,5291,5319,1.1166666666666667,0.225,0.5,1.9482080977142326,-1.9753773406074853
30,5319,5346,5368,5409,5447,1.0666666666666667,0.225,0.3416666666666667,1.9878833478615594,-2.034220448176551
31,5447,5478,5496,5543,5575,1.0666666666666667,0.25833333333333336,0.39166666666666666,2.0406845652925396,-2.165625781735736
32,5575,5603,5623,5666,5699,1.0333333333333334,0.23333333333333334,0.35833333333333334,2.161137343797413,-2.2057206511855
33,5699,5721,5744,5796,5823,1.0333333333333334,0.18333333333333332,0.43333333333333335,2.0845690772710803,-2.144519597368112
34,5823,5850,5869,5916,5948,1.0416666666666667,0.225,0.39166666666666666,2.0672645244379124,-2.1210687149600553
35,5948,5978,5995,6035,6073,1.0416666666666667,0.25,0.3333333333333333,2.0544857395990697,-2.159363698474663
36,6073,6102,6119,6159,6197,1.0333333333333334,0.24166666666666667,0.3333333333333333,2.097444865386192,-2.0633867901448952
37,6197,6228,6248,6282,6324,1.0583333333333333,0.25833333333333336,0.2833333333333333,2.0095082068265633,-2.232184276432867
38,6324,6349,6369,6413,6444,1.0,0.20833333333333334,0.36666666666666664,2.077075521175335,-2.228226654865038
39,6444,6474,6492,6543,6572,1.0666666666666667,0.25,0.425,2.0955366574372616,-2.2869289860418993
40,6572,6604,6620,6664,6700,1.0666666666666667,0.26666666666666666,0.36666666666666664,2.199481299398978,-2.2939878821874955
41,6700,6731,6750,6792,6824,1.0333333333333334,0.25833333333333336,0.35,2.2048890978767814,-2.2706631848449166
42,6824,6859,6875,6917,6953,1.075,0.2916666666666667,0.35,2.1523668784400702,-2.3449020045648714
43,6953,6984,7004,7039,7083,1.0833333333333333,0.25833333333333336,0.2916666666666667,2.1898124523810636,-2.31931677587033
